-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,text-xs/sp14_2,w-auto,text-white,truncate,inline-block,text-shopee-primary,pointer-events-none_3,text-white_2,img_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wm-mlk69y7zjw20ff,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Nokia N73 Second All Operator,Rp,485.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Malang,,,,,,,,,,"Scrape to BigSeller
Nokia N73 Second All Operator
Rp
485.000
2-5 Hari
Kab. Malang",https://shopee.co.id/Nokia-N73-Second-All-Operator-i.143484426.53206919122?extraParams=%7B%22display_model_id%22%3A218812345903%2C%22model_selection_logic%22%3A3%7D&sp_atk=156c46c8-726d-4b51-be2e-d6b2ea9e7d12&xptdk=156c46c8-726d-4b51-be2e-d6b2ea9e7d12
https://down-id.img.susercontent.com/file/042c309d64a1c8667ac08cedba639d22,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Nokia 1202 pakai casing Nokia 1203 second original,Rp,191.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,18 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Banyuwangi,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Scrape to BigSeller
Nokia 1202 pakai casing Nokia 1203 second original
Rp
191.000
4.9
18 Terjual
< 2 Hari
Kab. Banyuwangi",https://shopee.co.id/Nokia-1202-pakai-casing-Nokia-1203-second-original-i.193551914.21846972450?extraParams=%7B%22display_model_id%22%3A164503263147%2C%22model_selection_logic%22%3A3%7D&sp_atk=dff20b9f-8cdc-4cd7-8222-7e3eda5646d6&xptdk=dff20b9f-8cdc-4cd7-8222-7e3eda5646d6
https://down-id.img.susercontent.com/file/sg-11134201-22120-y0gyzz8uoglv99,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Nokia X2-02 Second Original,Rp,299.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,6 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Banyuwangi,5.0,,,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Scrape to BigSeller
Nokia X2-02 Second Original
Rp
299.000
5.0
6 Terjual
2-4 Hari
Kab. Banyuwangi",https://shopee.co.id/Nokia-X2-02-Second-Original-i.102330843.17024912138?extraParams=%7B%22display_model_id%22%3A97168504119%2C%22model_selection_logic%22%3A3%7D&sp_atk=24dbfac5-67d0-45ac-9d9c-30efa5db119f&xptdk=24dbfac5-67d0-45ac-9d9c-30efa5db119f
https://down-id.img.susercontent.com/file/97e0afa75f1a10dbd8d17efecfd5ad1c,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Hp Jadul Nokia N73 / Nokia N73 Bekas Layak Pakai,Rp,349.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,42 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bandung Barat,4.1,,,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Scrape to BigSeller
Hp Jadul Nokia N73 / Nokia N73 Bekas Layak Pakai
Rp
349.000
4.1
42 Terjual
2-3 Hari
Kab. Bandung Barat",https://shopee.co.id/Hp-Jadul-Nokia-N73-Nokia-N73-Bekas-Layak-Pakai-i.451318957.11517896632?extraParams=%7B%22display_model_id%22%3A142409082683%2C%22model_selection_logic%22%3A3%7D&sp_atk=384853ad-9adf-4a04-ad88-63c100ebed97&xptdk=384853ad-9adf-4a04-ad88-63c100ebed97
https://down-id.img.susercontent.com/file/id-11134207-82250-mis7kx8hla81b4,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Nokia 5110 Antik Simpanan,Rp,100.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandar Lampung,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,Produk Baru,,,,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,"Scrape to BigSeller
Nokia 5110 Antik Simpanan
Rp
100.000
Produk Baru
Besok
Bandar Lampung",https://shopee.co.id/Nokia-5110-Antik-Simpanan-i.209951817.53453845174?extraParams=%7B%22display_model_id%22%3A415364866541%2C%22model_selection_logic%22%3A3%7D&sp_atk=c8d9f90a-3e36-4133-9449-0c6e0aa0d62b&xptdk=c8d9f90a-3e36-4133-9449-0c6e0aa0d62b
https://down-id.img.susercontent.com/file/sg-11134201-22120-yo76vdteaklv3b,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Nokia 1280 - 1202 Second Original,Rp,130.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,35 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Banyuwangi,4.4,,,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Scrape to BigSeller
Nokia 1280 - 1202 Second Original
Rp
130.000
4.4
35 Terjual
2-4 Hari
Kab. Banyuwangi",https://shopee.co.id/Nokia-1280-1202-Second-Original-i.102330843.13751364914?extraParams=%7B%22display_model_id%22%3A95878340608%2C%22model_selection_logic%22%3A2%7D&sp_atk=e752825d-e214-4ea5-a9af-907b2ec308b9&xptdk=e752825d-e214-4ea5-a9af-907b2ec308b9
https://down-id.img.susercontent.com/file/id-11134207-7ras8-m1m98fy43wl530,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,NOKIA 130 KAMERA MP3 SOCOND ORIGINAL,Rp,56.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,18 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,4.4,,,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Scrape to BigSeller
NOKIA 130 KAMERA MP3 SOCOND ORIGINAL
Rp
56.000
4.4
18 Terjual
2-5 Hari
Kab. Cirebon",https://shopee.co.id/NOKIA-130-KAMERA-MP3-SOCOND-ORIGINAL-i.317289282.25437316254?extraParams=%7B%22display_model_id%22%3A241827351379%2C%22model_selection_logic%22%3A2%7D&sp_atk=4b227b5d-ebde-468e-aa32-60ad846da83d&xptdk=4b227b5d-ebde-468e-aa32-60ad846da83d
https://down-id.img.susercontent.com/file/id-11134207-7rbk7-m9k6kpp4tfd900,,Nokia C31 4/64 GB Garansi Resmi Indonesia Second Bekas Original,Rp,1.090.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Scrape to BigSeller
Nokia C31 4/64 GB Garansi Resmi Indonesia Second Bekas Original
Rp
1.090.000
5.0
1 Terjual
Besok
Jakarta Utara",https://shopee.co.id/Nokia-C31-4-64-GB-Garansi-Resmi-Indonesia-Second-Bekas-Original-i.304735900.41850337699?extraParams=%7B%22display_model_id%22%3A295027150879%2C%22model_selection_logic%22%3A3%7D&sp_atk=67c3649e-f07c-4c66-918a-d272a81e99fa&xptdk=67c3649e-f07c-4c66-918a-d272a81e99fa
https://down-id.img.susercontent.com/file/2a73feba568f42ba9f1ad8e1e280d7cd,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Nokia 150 216 second original , kondisi normal siap pakai",Rp,100.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,56 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Banyuwangi,4.6,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Scrape to BigSeller
Nokia 150 216 second original , kondisi normal siap pakai
Rp
100.000
4.6
56 Terjual
< 2 Hari
Kab. Banyuwangi",https://shopee.co.id/Nokia-150-216-second-original-kondisi-normal-siap-pakai-i.193551914.20522043615?extraParams=%7B%22display_model_id%22%3A181157776921%2C%22model_selection_logic%22%3A3%7D&sp_atk=83c917bf-c72d-4757-a5b3-9b80dcd94d08&xptdk=83c917bf-c72d-4757-a5b3-9b80dcd94d08
https://down-id.img.susercontent.com/file/id-11134207-7r991-lwmdir91g1zy55,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Nokia 105 warna USB | Second Berkualitas | HP Jadul,Rp,250.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,3 jam,,,,,3 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Scrape to BigSeller
Nokia 105 warna USB | Second Berkualitas | HP Jadul
Rp
250.000
5.0
1 Terjual
3 jam
Surabaya",https://shopee.co.id/Nokia-105-warna-USB-Second-Berkualitas-HP-Jadul-i.806011032.29103039286?extraParams=%7B%22display_model_id%22%3A246034037568%2C%22model_selection_logic%22%3A3%7D&sp_atk=8b269f96-e5c5-40df-9743-957bdfb6ac83&xptdk=8b269f96-e5c5-40df-9743-957bdfb6ac83
https://down-id.img.susercontent.com/file/sg-11134201-7rbl5-lovj8eo1qvhv5b,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Nokia 130 RM-1035 2014 Dual Sim Suport Memory Ponsel Second / Bekas Support All Operator,Rp,49.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,,,,,,,"Scrape to BigSeller
Nokia 130 RM-1035 2014 Dual Sim Suport Memory Ponsel Second / Bekas Support All Operator
Rp
49.000
3-6 Hari
Kab. Cirebon",https://shopee.co.id/Nokia-130-RM-1035-2014-Dual-Sim-Suport-Memory-Ponsel-Second-Bekas-Support-All-Operator-i.1048231247.22662154979?extraParams=%7B%22display_model_id%22%3A235866048245%2C%22model_selection_logic%22%3A2%7D&sp_atk=93c4ae89-b126-48f7-9c88-55fb572cb66e&xptdk=93c4ae89-b126-48f7-9c88-55fb572cb66e
https://down-id.img.susercontent.com/file/id-11134207-8224v-mgf15bktjojxa4,https://down-id.img.susercontent.com/file/id-11134258-7ra0q-mbesqwmkb0gu9c,Nokia model ta-1017 second normal kartu kebaca memory card kebaca,Rp,45.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,,,"Scrape to BigSeller
Nokia model ta-1017 second normal kartu kebaca memory card kebaca
Rp
45.000
2-3 Hari
Bandung",https://shopee.co.id/Nokia-model-ta-1017-second-normal-kartu-kebaca-memory-card-kebaca-i.1390122266.41670455104?extraParams=%7B%22display_model_id%22%3A267254576477%2C%22model_selection_logic%22%3A2%7D&sp_atk=1526901a-83ea-45f4-bccc-2d54f33741e7&xptdk=1526901a-83ea-45f4-bccc-2d54f33741e7
https://down-id.img.susercontent.com/file/id-11134207-7r990-lqrxwj5tu1gu53,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,NOKIA 1280 CAS JARUM KECIL SCOND,Rp,45.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,34 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,4.4,,,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Scrape to BigSeller
NOKIA 1280 CAS JARUM KECIL SCOND
Rp
45.000
4.4
34 Terjual
3-6 Hari
Kab. Cirebon",https://shopee.co.id/NOKIA-1280-CAS-JARUM-KECIL-SCOND-i.972364800.23733725445?extraParams=%7B%22display_model_id%22%3A214824849559%2C%22model_selection_logic%22%3A2%7D&sp_atk=c9fd3696-14f0-49a3-b035-7e0a2b003931&xptdk=c9fd3696-14f0-49a3-b035-7e0a2b003931
https://down-id.img.susercontent.com/file/id-11134207-7ras9-m3br849ppp1r23,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Nokia 216/150 second,Rp,65.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,21 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Majalengka,5.0,,,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Scrape to BigSeller
Nokia 216/150 second
Rp
65.000
5.0
21 Terjual
3-6 Hari
Kab. Majalengka",https://shopee.co.id/Nokia-216-150-second-i.200321919.25415908993?extraParams=%7B%22display_model_id%22%3A261017174603%2C%22model_selection_logic%22%3A3%7D&sp_atk=3345c458-a4e7-4e55-94e4-626ec5fba7ea&xptdk=3345c458-a4e7-4e55-94e4-626ec5fba7ea
